Spanish,English,yo,tu,es,nosotros,vosotros,ustedes
ver,to see,veo,ves,ve,vemos,veis,ven
saber,to know (fact or info),sé,sabes,sabe,sabemos,sabéis,saben
conocer,to be familiar with,conozco,conoces,conoce,conocemos,conocéis,conocen
dar,to give,doy,das,da,damos,dais,dan
ser,to be (inherent),soy,eres,es,somos,sois,son
estar,to be (temporary),estoy,estás,está,estamos,estáis,están
ir,to go,voy,vas,va,vamos,vais,van
tener,to have,tengo,tienes,tiene,tenemos,tenéis,tienen
detener,to detain,detengo,detienes,detiene,detenemos,detenéis,detienen
hacer,to make/do,hago,haces,hace,hacemos,hacéis,hacen
deshacer,to undo,deshago,deshaces,deshace,deshacemos,deshacéis,deshacen
venir,to come,vengo,vienes,viene,venimos,venís,vienes
decir,to say/tell,digo,dices,dice,decimos,decís,dicen
salir,to leave,salgo,sales,sale,salimos,salís,salen
poner,to put/place,pongo,pones,pone,ponemos,ponéis,ponen
oír,to hear,oigo,oye,oyes,oímos,oís,oyen
caerse,to fall,me caigo,te caes,se cae,nos caemos,os caéis,se caen
seguir,to follow,sigo,sigues,sigue,seguimos,seguís,siguen
traer,to bring/carry,traigo,traes,trae,traemos,traéis,traen
parecer,to seem,parezco,pareces,parece,parecemos,parecéis,parecen
aparecer,to appear,aparezco,apareces,aparece,aparecemos,aparecéis,aparecen
nacer,to be born,nazco,naces,nace,nacemos,nacéis,nacen
ofrecer,to offer,ofrezco,ofreces,ofrece,ofrecemos,ofrecéis,ofrecen
reconocer,to recognize,reconozco,reconoces,reconoce,reconocemos,reconocéis,reconocen
traducir,to translate,traduzco,traduces,traduce,traducimos,traducís,traducen
producir,to produce,produzco,produces,produce,producimos,producís,producen
reducir,to reduce,reduzco,reduces,reduce,reducimos,reducís,reducen
conducir,to drive,conduzco,conduces,conduce,conducimos,conducís,conducen
enviar,to send,envío,envías,envía,enviamos,enviáis,envían
esquiar,to ski,esquío,esquías,esquía,esquiamos,esquiáis,esquían
graduarse,to graduate,me gradúo,te gradúas,se gradúa,nos graduamos,os graduáis,se gradúan
continuar,to continue,continúo,continúas,continúa,continuamos,continuáis,continúan
desafiar,to challenge/dare,desafío,desafías,desafía,desafiamos,desafiáis,desafían
